Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3",0402,2,1uF,
C10,0402,1,4.7uf,
"C11, C16, C17, C2, C5, C6, C7, C8, C9",0402,9,100nF,
"C12, C13, C14, C15",0402,4,15pF,
C4,0402,1,10nF,
D1,SOT-23,1,BAT54C,
"D2, D3",0402,2,AZ5725-01F-P ,
D6,0402,1,Purple,
D7,0402,1,White,
FB1,0402,1,1K 100M,
J1,Test_Dot,1,SWD,
J3,Hirose_FH12-8S-0.5SH_1x08-1MP_P0.50mm_Horizontal,1,FPC0.5-SMT-8,
J4,J,1,~,
R1,0402,1,0R,
"R10, R13",0402,2,1K,
"R11, R12, R4, R5",0402,4,22R,
R14,0402,1,100K,
"R2, R3",0402,2,10K,
SW1,SW_4P_3x4x2.5mm,1,NRST,
SW2,SW_4P_3x4x2.5mm,1,BOOT0,
U1,STM32G431CBU6,1,STM32G431CBU6,
U3,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4mm,1,W25Q128JVS,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,8M,
Y2,Crystal_SMD_2012-2Pin_2.0x1.2mm_HandSoldering,1,32.768K,
j2,BTB_0.8_2X20P_F,1,~,
