Designator,Mid X,Mid Y,Rotation,Layer
C1,147.065,-72.73,0.0,bottom
C10,136.2,-75.17,270.0,bottom
C11,132.475,-76.95,180.0,top
C12,139.11,-80.045,0.0,top
C13,142.96,-77.05,270.0,top
C14,134.845,-78.345,180.0,top
C15,137.0775,-78.345,0.0,top
C16,147.925,-68.3825,270.0,top
C17,154.475,-72.8,90.0,top
C2,147.06,-73.679999,0.0,bottom
C3,147.09,-69.93,0.0,bottom
C4,145.61,-70.36,270.0,bottom
C5,131.52,-70.11,0.0,bottom
C6,131.52,-69.15,0.0,bottom
C7,131.53,-71.08,0.0,bottom
C8,147.925,-70.455,90.0,top
C9,135.225,-75.175,270.0,bottom
D1,131.82,-74.71,90.0,top
D2,123.8975,-73.56,0.0,top
D3,128.06,-73.52,0.0,top
D6,144.825,-75.325,270.0,top
D7,131.73,-68.31,180.0,top
FB1,147.564999,-71.330002,90.0,bottom
J1,132.84,-63.28,0.0,top
J3,151.57,-77.09,0.0,top
J4,138.6,-70.975,0.0,top
R1,146.615,-71.33,270.0,bottom
R10,145.825,-75.5,270.0,top
R11,146.875,-75.25,0.0,bottom
R12,146.875,-76.275,0.0,bottom
R13,131.59,-69.310001,0.0,top
R14,154.1,-75.175,180.0,bottom
R2,132.445,-77.94,0.0,top
R3,131.99,-70.97,270.0,top
R4,135.4,-65.69,90.0,top
R5,134.4,-65.69,90.0,top
SW1,123.795,-77.14,90.0,top
SW2,127.795,-77.14,90.0,top
U1,139.3,-71.352,90.0,top
U3,151.2,-70.575,90.0,top
Y1,140.31,-77.82,180.0,top
Y2,135.835,-76.92,180.0,top
j2,139.3,-65.175,90.0,bottom
