Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C6, C7, C9",0402,5,100nF,
C13,0402,1,10uF,
"C14, C2, C3",0603,3,22uF,
"C4, C5",0603,2,10uF,
C8,0402,1,1uF,
D1,D_SOD-323,1,LESD3Z5.0CMT1G,
"D2, D3, D4, D5",D_SOD-923,4,ESD9B5.0ST5G,
D6,D_SOD-123,1,1N5819WS,
D7,0402,1,Blue,
D8,0402,1,Yellow,
D9,0402,1,Yllow,
J2,PinHeader_2x20_P2.54mm_Vertical_SMD,1,Conn_02x20_Odd_Even,
J3,SolderWirePad_1x01_SMD_1x2mm,1,Conn_01x01_Pin,
J4,Afflatus-outline,1,~,
L1,L_Sunlord_MWSA0402S,1,L,
"R1, R20, R21",0402,3,22R,
"R10, R11, R12, R9",0402,4,5.1K,
"R13, R7",0402,2,0R,
"R14, R15",0402,2,1K,
R18,0402,1,200K,
R19,0402,1,40.2K,
"R2, R3",0402,2,100K,
R22,0402,1,3.3K,
R4,0402,1,51K,
R5,0402,1,41.2K,
R6,0402,1,13K,
R8,0402,1,10K,
U1,TSOT-23-8,1,~,
"U2, U3",Typc-C-16P,2,USB_C_16P,
U4,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,1,CP2102N-Axx-xQFN28,
U5,XDCR_BMI270,1,BMI270,
U6,SOT-89-3,1,AMS1117,
j1,BTB_0.8_2X20P_M,1,~,
